id,latitude,longitude,timestamp
0,335108462,-1171401536,1368825943242
1,335108474,-1171401597,1368826004716
2,335108506,-1171401866,1368826184496
3,335108266,-1171402119,1368826304476
4,335108221,-1171402087,1368826364484
5,335108371,-1171402049,1368826544864
6,335108863,-1171402061,1368826724871
7,335108863,-1171402061,1368826904872
8,335108863,-1171402061,1368827084903
9,335108863,-1171402061,1368827144908
10,335108863,-1171402061,1368827264903
11,335108863,-1171402061,1368827444945
12,335108863,-1171402061,1368827624925
13,335108863,-1171402061,1368827684941
14,335108863,-1171402061,1368827744955
15,335108863,-1171402061,1368827804948
16,335108863,-1171402061,1368827984957
17,335108863,-1171402061,1368828044972
18,335108863,-1171402061,1368828104976
19,335108863,-1171402061,1368828224978
20,335108863,-1171402061,1368828284989
21,335108863,-1171402061,1368828344993
22,335108863,-1171402061,1368828404986
23,335108863,-1171402061,1368828464999
24,335108863,-1171402061,1368828525022
25,335108863,-1171402061,1368828705046
26,335108863,-1171402061,1368828885040
27,335108863,-1171402061,1368828945040
28,335108863,-1171402061,1368829065041
29,335108863,-1171402061,1368829125065
30,335108863,-1171402061,1368829245074
31,335108863,-1171402061,1368829305072
32,335108863,-1171402061,1368829425080
33,335108863,-1171402061,1368829485064
34,335108863,-1171402061,1368829605084
35,335108863,-1171402061,1368829785101
36,335108863,-1171402061,1368829965119
37,335108863,-1171402061,1368830145140
38,335108863,-1171402061,1368830346562
39,335108863,-1171402061,1368830406603
40,335108863,-1171402061,1368830466593
41,335108863,-1171402061,1368830526605
42,335108863,-1171402061,1368830586616
43,335108863,-1171402061,1368830646643
44,335108863,-1171402061,1368830766646
45,335108863,-1171402061,1368830946678
46,335108863,-1171402061,1368831126705
47,335108863,-1171402061,1368831306702
48,335108863,-1171402061,1368831486701
49,335108863,-1171402061,1368831666698
50,335108863,-1171402061,1368831726707
51,335108863,-1171402061,1368831786715
52,335108863,-1171402061,1368831906773
53,335108863,-1171402061,1368832026721
54,335108863,-1171402061,1368832086757
55,335108863,-1171402061,1368832206748
56,335108863,-1171402061,1368832266861
57,335108863,-1171402061,1368832386764
58,335108863,-1171402061,1368832446940
59,335108863,-1171402061,1368832566772
60,335108863,-1171402061,1368832627025
61,335108863,-1171402061,1368832746769
62,335108863,-1171402061,1368832806805
63,335108863,-1171402061,1368832866883
64,335108863,-1171402061,1368832986876
